"artist","name","label","start time","end time","playtime"
"","6/12/21","","6/12/21, 11:08:07 AM PDT","",""
"1. Trail","RIC9","DUBPLATE","3:19:12 PM PDT","3:24:18 PM PDT","00:31:06"
"Amoss","Carl (Rift Remix)","","3:21:59 PM PDT","3:31:26 PM PDT","00:09:27"
"Drumcatcher","Give Me A Bomb (Black Barrel Remix)","","3:24:18 PM PDT","3:28:35 PM PDT","00:04:17"
"Dot & Compiler","Instance (Quadrant + Iris Rmx)","DUBPLATE","3:25:58 PM PDT","3:41:07 PM PDT","00:15:09"
"Kemal + Rob Data","Gene Sequence","Negative Recordings","3:28:51 PM PDT","3:34:01 PM PDT","00:05:10"
"Molecular","Space Train (Original Mix)","C4C Recordings","3:31:26 PM PDT","3:36:48 PM PDT","00:05:22"
"Shogun Audio","Suspicious (Alix Perez Remix)","Shogun Audio","3:34:01 PM PDT","3:39:43 PM PDT","00:05:42"
"Skeptical","8am to 1am","","3:36:48 PM PDT","3:45:46 PM PDT","00:08:58"
"Ben Verse, Wingz","Taking Off","Rebel Music","3:38:14 PM PDT","3:39:56 PM PDT","00:01:42"
"Ben Verse, Screamarts","Culture","Rebel Music","3:39:43 PM PDT","3:48:29 PM PDT","00:08:46"
"In_Most","Do You (Kasra Remix)","Soulvent Records","3:41:07 PM PDT","3:50:16 PM PDT","00:09:09"
"Gest","Huaxi","","3:42:50 PM PDT","4:15:37 PM PDT","00:32:47"
"Klinical","Sinful [Height Mastered_16_44_3]","","3:45:46 PM PDT","3:54:35 PM PDT","00:08:49"
"Trex","Cresta Run","","3:48:47 PM PDT","3:52:34 PM PDT","00:03:47"
"YAANO","Blossom FINAL","Overview Music","3:50:16 PM PDT","4:13:38 PM PDT","00:23:22"
"YAANO","Take It FINAL","Overview Music","3:52:39 PM PDT","3:56:29 PM PDT","00:03:50"
"Serum","Gator","","3:54:35 PM PDT","3:58:32 PM PDT","00:03:57"
"Chimpo, Kings Of The Rollers","Shella feat. Chimpo (Halogenix Remix)","Hospital Records","3:56:29 PM PDT","4:00:45 PM PDT","00:04:16"
"Kublai","Emerald Funk","","3:58:40 PM PDT","4:03:42 PM PDT","00:05:02"
"Future Cut","20/21 (DLR Remix)","Sofa Sound","4:01:44 PM PDT","4:06:04 PM PDT","00:04:20"
"Fox","Walk Out (prod. by DLR & Alix Perez)","North Quarter","4:03:42 PM PDT","4:08:35 PM PDT","00:04:53"
"","Screamarts - Riddim (Patreon Exclusive)","","4:06:04 PM PDT","4:11:10 PM PDT","00:05:06"
"Break","Change Things","Symmetry Recordings","4:09:03 PM PDT","4:17:23 PM PDT","00:08:20"
"Black Barrel","Third Wave","","4:11:16 PM PDT","4:19:52 PM PDT","00:08:36"
"Dan Structure","Move People","","4:13:38 PM PDT","4:17:26 PM PDT","00:03:48"
"Hyroglifics","Cloth Of Gold v3","DUBPLATE","4:15:37 PM PDT","4:19:54 PM PDT","00:04:17"
"En:vy","All About You","Flexout ","4:17:23 PM PDT","4:22:41 PM PDT","00:05:18"
"Data 3","Wave Function","","4:19:52 PM PDT","4:25:20 PM PDT","00:05:28"
"Gridlok","Vault Dweller","","4:22:41 PM PDT","4:27:54 PM PDT","00:05:13"
"Stakka & Skynet","Decoy","Underfire Recordings","4:25:20 PM PDT","4:31:18 PM PDT","00:05:58"
"Break","Framework","Symmetry Recordings","4:28:55 PM PDT","4:32:59 PM PDT","00:04:04"
"Break","Something New","Symmetry Recordings","4:31:18 PM PDT","",""
"Dillinja","Crunch","Valve Digital","4:32:59 PM PDT","",""
